,bins,color_vector_length,distance_measure,gradient_vector_length,interpolated,k,num_of_grid,score
485,15,180,l2,60,False,15,2,0.39568345323741005
200,5,15,l1,5,True,1,1,0.39568345323741005
505,20,240,l2,80,True,1,2,0.39568345323741005
451,5,60,l2,20,False,5,2,0.39568345323741005
0,5,15,l1,5,False,1,1,0.39328537170263705
456,5,60,l1,20,True,1,2,0.39328537170263705
495,15,180,l2,60,True,25,2,0.39088729016786505
565,20,960,l2,320,False,15,4,0.39088729016786505
499,20,240,l2,80,False,5,2,0.39088729016786505
6,5,15,l1,5,False,25,1,0.38848920863309305
5,5,15,l2,5,False,15,1,0.38848920863309305
511,20,240,l2,80,True,25,2,0.38848920863309305
502,20,240,l1,80,False,25,2,0.38848920863309305
207,5,15,l2,5,True,25,1,0.38848920863309305
197,5,15,l2,5,False,15,1,0.38369304556354905
7,5,15,l2,5,False,25,1,0.38129496402877705
450,5,60,l1,20,False,5,2,0.38129496402877705
424,15,45,l1,15,True,1,1,0.38129496402877705
449,5,60,l2,20,False,1,2,0.37889688249400405
199,5,15,l2,5,False,25,1,0.37649880095923205
452,5,60,l1,20,False,15,2,0.37649880095923205
460,5,60,l1,20,True,15,2,0.36930455635491605
501,20,240,l2,80,False,15,2,0.36450839328537105
487,15,180,l2,60,False,25,2,0.35971223021582704
438,20,60,l1,20,False,25,1,0.35971223021582704
425,15,45,l2,15,True,1,1,0.35971223021582704
453,5,60,l2,20,False,15,2,0.35731414868105504
503,20,240,l2,80,False,25,2,0.35731414868105504
446,20,60,l1,20,True,25,1,0.35731414868105504
447,20,60,l2,20,True,25,1,0.35491606714628304
444,20,60,l1,20,True,15,1,0.35491606714628304
434,20,60,l1,20,False,5,1,0.35251798561151004
454,5,60,l1,20,False,25,2,0.35251798561151004
457,5,60,l2,20,True,1,2,0.35251798561151004
455,5,60,l2,20,False,25,2,0.35251798561151004
426,15,45,l1,15,True,5,1,0.35011990407673804
458,5,60,l1,20,True,5,2,0.35011990407673804
461,5,60,l2,20,True,15,2,0.35011990407673804
463,5,60,l2,20,True,25,2,0.35011990407673804
413,10,30,l2,10,True,15,1,0.35011990407673804
429,15,45,l2,15,True,15,1,0.35011990407673804
445,20,60,l2,20,True,15,1,0.34532374100719404
430,15,45,l1,15,True,25,1,0.34532374100719404
427,15,45,l2,15,True,5,1,0.34532374100719404
428,15,45,l1,15,True,15,1,0.34292565947242204
462,5,60,l1,20,True,25,2,0.34292565947242204
459,5,60,l2,20,True,5,2,0.34052757793764904
418,15,45,l1,15,False,5,1,0.33812949640287704
436,20,60,l1,20,False,15,1,0.33812949640287704
443,20,60,l2,20,True,5,1,0.33812949640287704
437,20,60,l2,20,False,15,1,0.33573141486810504
