,bins,color_vector_length,distance_measure,gradient_vector_length,interpolated,k,num_of_grid,score
473,10,120,l2,40,True,1,2,0.22906403940886702
456,5,60,l1,20,True,1,2,0.22906403940886702
494,15,180,l1,60,True,25,2,0.22906403940886702
551,15,720,l2,240,False,25,4,0.22906403940886702
507,20,240,l2,80,True,5,2,0.22660098522167402
193,5,15,l2,5,False,1,1,0.22660098522167402
492,15,180,l1,60,True,15,2,0.22660098522167402
485,15,180,l2,60,False,15,2,0.22660098522167402
465,10,120,l2,40,False,1,2,0.224137931034482
478,10,120,l1,40,True,25,2,0.224137931034482
467,10,120,l2,40,False,5,2,0.219211822660098
495,15,180,l2,60,True,25,2,0.21674876847290603
454,5,60,l1,20,False,25,2,0.21674876847290603
483,15,180,l2,60,False,5,2,0.21428571428571402
487,15,180,l2,60,False,25,2,0.21182266009852202
489,15,180,l2,60,True,1,2,0.21182266009852202
453,5,60,l2,20,False,15,2,0.19950738916256103
469,10,120,l2,40,False,15,2,0.19950738916256103
405,10,30,l2,10,False,15,1,0.19704433497536902
462,5,60,l1,20,True,25,2,0.19704433497536902
448,5,60,l1,20,False,1,2,0.19458128078817702
438,20,60,l1,20,False,25,1,0.19211822660098501
451,5,60,l2,20,False,5,2,0.19211822660098501
444,20,60,l1,20,True,15,1,0.19211822660098501
491,15,180,l2,60,True,5,2,0.19211822660098501
404,10,30,l1,10,False,15,1,0.189655172413793
455,5,60,l2,20,False,25,2,0.189655172413793
471,10,120,l2,40,False,25,2,0.189655172413793
406,10,30,l1,10,False,25,1,0.184729064039408
446,20,60,l1,20,True,25,1,0.184729064039408
449,5,60,l2,20,False,1,2,0.18226600985221603
493,15,180,l2,60,True,15,2,0.18226600985221603
407,10,30,l2,10,False,25,1,0.18226600985221603
413,10,30,l2,10,True,15,1,0.17980295566502402
410,10,30,l1,10,True,5,1,0.17980295566502402
463,5,60,l2,20,True,25,2,0.17733990147783202
428,15,45,l1,15,True,15,1,0.17733990147783202
422,15,45,l1,15,False,25,1,0.17733990147783202
450,5,60,l1,20,False,5,2,0.17733990147783202
458,5,60,l1,20,True,5,2,0.17733990147783202
439,20,60,l2,20,False,25,1,0.17487684729064001
